"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"34","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:47:57,FALSE,NA,"471724576070565888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jayp008",81,TRUE,FALSE,NA,NA
"35","RT @IamRRaam: @soundaryaarajni Each time #Kochadaiiyaan ends, the excitement for the 2nd part begins..!! When is it coming.. Can't wait for…",FALSE,0,NA,2014-05-28 17:38:27,FALSE,NA,"471707083654455297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kollywoodking7",6,TRUE,FALSE,NA,NA
"36","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:47:12,FALSE,NA,"471724384189964288",NA,"web","Juggernaut_ab",81,TRUE,FALSE,NA,NA
"37","Glad to see legend #Nagesh sir back to screen via #Kochadaiiyaan .
Technology can do anything. @soundaryaarajni http://t.co/KINmt83zpQ",FALSE,0,NA,2014-05-28 17:38:11,FALSE,NA,"471707017040510976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R___squared",0,FALSE,FALSE,"78.0955671","9.9605857"
"38","RT @rameshlaus: #Sani started for #MI when they unnecessarily tried to make fun of @superstarrajini http://t.co/O6as1D5NFe",FALSE,0,NA,2014-05-28 18:47:08,FALSE,NA,"471724367592685568",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","prasanthbalan",49,TRUE,FALSE,NA,NA
"39","RT @InfasF: #Kochadaiiyaan  for d 7th tyms..simply awsme moive...raana ddnt get married ti princess..:'( @soundaryaarajni looking forward t…",FALSE,0,NA,2014-05-28 17:36:49,FALSE,NA,"471706672923017216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kollywoodking7",2,TRUE,FALSE,NA,NA
"40","@WeAreChennai @ChennaiIPL @superstarrajini even God can't save you from the defeat at the hands of Dhoni &amp; Co. &gt;:D bwahahaha  Dumb MI fans",FALSE,0,"WeAreChennai",2014-05-28 18:46:57,FALSE,"471719222066696192","471724324877910016","1478178996","web","arysto2tell",0,FALSE,FALSE,NA,NA
"41","i like to study #motioncapturetechnology bcoz of #kochadaiiyaan.....@soundaryaarajni @superstarrajini",FALSE,0,NA,2014-05-28 17:30:09,FALSE,NA,"471704995377577985",NA,"web","divaakar9705",0,FALSE,FALSE,NA,NA
"42","RT @dissvki: ""@sudhanks: Twitter ஆரம்பிக்கும் முன்னாடியே ""கீச்சிடுவேன்""னு சொன்னவரு டா தலைவர்!! #Rajnikanth"" cc @superstarrajini",FALSE,0,NA,2014-05-28 18:46:34,FALSE,NA,"471724226089472000",NA,"web","imuttaal",1,TRUE,FALSE,NA,NA
"43","After #Kochadaiiyaan , i need a brain wash to erase that memory. cant wait to watch How to Train Your Dragon 2 ! @DWAnimation",FALSE,0,NA,2014-05-28 17:28:38,FALSE,NA,"471704615893745664",NA,"web","geeprivi",0,FALSE,FALSE,NA,NA
"44","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:46:10,FALSE,NA,"471724125560389632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaimech05",81,TRUE,FALSE,NA,NA
